id;nombre;descripcion;stock;iva;costoPeso;ganancia;precioVenta;precioPeso;iva2;precioDolar2;ganancia2;;categoria;;provedor;wprecioDolar
0;RECTA SUNSURE ADELANTO- $40000;;9998;21;0;0;0;0;0;0;0;0;RECTA;;;0
144;AGUJA DBx1 16x231/257 1738 N°11 ;ORANGE NEEDLES;0;0;0;0;0;0;0;0;0;0;;0;;0
145;AGUJA DBx1 16x231/257 1738 N°12 ;ORANGE NEEDLES;0;0;0;0;0;0;0;0;0;0;;0;;0
147;AGUJA DBx1 16x231/257 1738 N°14     ;ORANGE NEEDLES;35;0;1106,05;60;1900;0;0;935;0;935;RECTA;;BOTANA;0,94
148;AGUJA DBx1 16x231/257 1738 N°16   ;;31;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
149;AGUJA DBx1 16x231/257 1738 N°1;;24;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
150;AGUJA DBx1 16x231/257 1738 N°20;;19;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
160;AGUJA DPx5 135x5 134 N°11       ;;40;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
161;AGUJA DPx5 135x5 134 N°14 ;ORANGE NEEDLES;41;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
162;AGUJA DPx5 135x5 134 N°16     ;ORANGE NEEDLES;22;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
163;AGUJA DPx5 135x5 134 Nº1;ORANGE NEEDLES;21;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
165;AGUJA DPx5 135x5/7 134 Nº2;ORANGE NEEDLES;20;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
166;AGUJA DPx5 135x5/7 134 Nº2;ORANGE NEEDLES;21;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
167;AGUJA DPx5 135x5/7 134 N°2;ORANGE NEEDLES;20;0;1106,05;60;1900;935;0;935;0;935;RECTA;;BOTANA;0,94
168;AGUJA DCx27 B-27 MY1023 N°1;ORANGE NEEDLES;17;0;1685,09;60;2900;1413;0;1413;0;1413;OVERLOCK;;BOTANA;1,42
170;AGUJA DCx27 B-27 MY1023 Nº11;ORANGE NEEDLES;34;0;1685,09;60;2900;1413;0;1413;0;1413;OVERLOCK;;BOTANA;1,42
172;AGUJA DPx17 135x17 2167 N°1;ORANGE NEEDLES;17;0;1443,09;60;2500;1413;0;1413;0;1413;ATRAQUE;;BOTANA;1,42
173;AGUJA DCx27 B-27 MY1023 Nº14;ORANGE NEEDLES;30;0;1685,09;60;2900;1413;0;1413;0;1413;OVERLOCK;;BOTANA;1,42
174;AGUJA DPx17 135x17 2167 N°2;ORANGE NEEDLES;25;0;1443,09;60;2500;1413;0;1413;0;1413;ATRAQUE;;BOTANA;1,42
