id;name;stock;costoPeso;costoDolar;iva;ganancia;precioVenta
LP2;AER PLATINUM MIST SPRAY 200;0;1099,9;0;21;0;2100
A112;ALTEX ALGODON 112;0;653;3,2;21;0;1700
A191;ALTEX ALGODON 191;0;653;3,2;21;0;1700
A291;ALTEX ALGODON 291;0;653;3,2;21;0;1700
A320;ALTEX ALGODON 320;0;653;3,2;21;0;1700
A349;ALTEX ALGODON 349;0;653;3,2;21;0;1700
A353;ALTEX ALGODON 353;0;653;3,2;21;0;1700
A916;ALTEX ALGODON 916;0;653;3,2;21;0;1700
A946;ALTEX ALGODON 946;0;653;3,2;21;0;1700
A802;ALTEX ALGODON NEGRO 802;0;653;3,2;21;0;1200
BC-DB1;BOBINA ;0;0;0;21;0;300
CH- 468;CARRETEL P/RECTA HIERRO;0;102;0,11;21;0;209
20160;CHAPA TRIPLE ARRASTRE INTERMEDIO ;0;1073;1,16;21;0;2077
CP801;CORONA POLIESTER BLANCO 801;0;1904;6,8;21;0;3000
CP802;CORONA POLIESTER NEGRO 802;0;2131;7,61;21;0;3200
S02643-001;CUCHILLA (BROTHER) S02643-001;0;0;0;21;0;800
ER801;EKONOMIKO ALGODON BLANCO 801;0;980;1,06;21;0;1186
KU15;ENFRIADOR DE AGUJA 3 HILOS LINEA F KU15;0;3498;3,18;21;0;7195
GA4-20;GUIA, RIBETEADOR Y DOBLADILLADOR DE RECTA A4 20mm;0;0;0;21;0;900
HR108;HALCON ALGODON 108;0;1740,31;2,06;21;0;2100
HR193;HALCON ALGODON 193;0;1740,31;2,06;21;0;2100
HR202;HALCON ALGODON 202;0;1740,31;2,06;21;0;2100
HR283;HALCON ALGODON 283;0;1740,31;2,06;21;0;2100
HR316;HALCON ALGODON 316;0;1740,31;2,06;21;0;2100
HR333;HALCON ALGODON 333;0;1740,31;2,06;21;0;2100
HR374;HALCON ALGODON 374;0;1740,31;2,06;21;0;2100
HR492;HALCON ALGODON 492;0;1740,31;2,06;21;0;2100
HR916;HALCON ALGODON 916;0;1740,31;2,06;21;0;2100
HP225;HALCON POLIESTER 225;0;6124,87;12,54;21;0;6900
2225X;IMAN PEQUEï¿½;0;140;0;21;0;250
TDOJ;JACK TOBOGAN DE DESCARGA OVERLOCK ;0;0;0;21;0;2300
L802;LANDI ALGODON NEGRO 802;0;0;0;21;0;800
P/2121/4DG;LH PRENSATELA 1/4  C/DOBLE GUIA ;0;9692;0;21;0;16476
SP181/16;LH PRENSATELA C/GUIA SP181/16;0;4442;5,6;21;0;7551
12435HN;LH PRENSATELA CIERRE 12435HN;0;2727;3,4;21;0;4636
31358HN;LH PRENSATELA CIERRE 31358HN;0;2727;3,4;21;0;4636
LP59;LP85 LUBRICANTE BLANCO x 100 cc;0;388;0,42;21;0;799
LP55;LP85 LUBRICANTE BLANCO x 2 LITRO;0;4088;4,42;21;0;7302
LED2499;LUCES LED C/30 LED C/IMAN Y REGULADOR ;0;1600;0;21;0;6900
SR-G28;LUCES LED C/30 LED C/IMAN Y REGULADOR SIRUBA ;0;1000;0;21;0;7800
LED2489;LUCES LED C/30 LED C/IMAN Y TACTIL;0;0;0;21;0;6700
TOUCH-G30;LUCES LED C/30 LED C/IMAN Y TACTIL SIRUBA;0;1800;0;21;0;11500
H-2;MINI CORTADORA DAPET MODELO H2;0;147400;134;21;0;178354
M878;MOTOR IND REGULA TENSION DEL MOTOR;0;167,47;0;21;0;800
OR801;OLITEX ALGODON BLANCO 801;0;450;17;21;0;1200
204702;PEGASUS CROCHET 3 Y 4 HILOS 204702;0;2460;2,66;21;0;4853
295;PINCEL DE OVERLOCK;0;60,5;0;21;0;600
4952;PIQUETE COLORES;0;150;0;21;0;1000
212182;PRENSATELA (M752-53/54A) 3 HILOS 212182 SIRUBA;0;1309,68;0;21;0;1800
P201A-A;PRENSATELA 4 HILOS P201A-A ORIG.;0;5532;5,98;21;0;10709
P1287;PRENSATELA C/RODILLO DE GOMA;0;2843,1;17,9;21;0;8000
P1290;PRENSATELA C/RODILLO DE METAL;0;1000;0;21;0;8000
12264;PRENSATELA C/RODILLO DENTADO 12264;0;1900;3,59;21;0;3230
SUSEIP363;PRENSATELA CIERRE CENTRO SUSEIP363;0;516,8;0;21;0;1000
SUSEIP50;PRENSATELA FRUNCIDORA SUSEIP50;0;1859;1,69;21;0;3824
CR1/16NC;PRENSATELA P/PESPUNTE CR1/16NC;0;0;0;21;0;300
SUSEICR1/32N;PRENSATELA P/PESPUNTE SUSEICR1/32N;0;3146;2,86;21;0;6471
TCR1/16N;PRENSATELA P/PESPUNTE TEFLON TCR1/16N;0;966,28;0;21;0;1700
TCR1/32N;PRENSATELA P/PESPUNTE TEFLON TCR1/32N;0;832,2;0;21;0;1700
MTI;PRENSATELA TEFLON MTI;0;182,36;0;21;0;300
PT11455;PRENSATELA TEFLON REPUESTO 3 HILOS ;0;5596;6,05;21;0;10157
MT-18B;PRENSATELA TEFLON REPUESTO MT-18B;0;80,47;0;21;0;300
T350B;PRENSATELA TEFLON REPUESTO T350B;0;48,3;0;21;0;100
T351B;PRENSATELA TEFLON REPUESTO T351B;0;276,5;0;21;0;200
T351;PRENSATELA TEFLON T351;0;748;0,68;21;0;1539
T36LN;PRENSATELA TEFLON ZURDO;0;104,86;0;21;0;700
SUSEIP36LN;PRENSATELA ZURDO CIERRE P36LN;0;1559,98;1,56;21;0;2700
Q640;QUITAMANCHAS;0;1000;0;21;0;2600
RR802;REALTEX ALGODON NEGRO 802;0;0;0;21;0;650
D-010-R;RESORTE DE BRAZO;0;1133;1,03;21;0;1813
RVS1;RETEN;0;0;0;21;0;1300
REY193;REY ALGODON 193;0;1679,58;3,05;21;0;1900
REY919;REY ALGODON 919;0;1679,58;3,05;21;0;1900
E229F374;SIRUBA CHAPA 4 HILOS E229 Y Uï¿½ï¿½ï¿½ï¿½ï¿½ï;0;0;0;21;0;4500
E3327;SIRUBA CHAPA COLLARETA E3327 6.4MM ORIGINAL;0;0;0;21;0;10000
KR35W;SIRUBA CUCHILLA FIJA KR35 WIDIA;0;731;0,79;21;0;1503
KR23W;SIRUBA CUCHILLA MOVIL KR23 WIDIA;0;1758;1,9;21;0;3403
KR22;SIRUBA EJE KR22;0;629;0,68;21;0;1256
KG09C;SIRUBA GUIA HILO KG09;0;1776;1,92;21;0;3438
P2445-364;SIRUBA PRENSATELA TAPACOSTURA P2445 364 ORIGINAL;0;3240;0;21;0;19670
KG03;SIRUBA RESORTE KG03;0;179,66;0;21;0;300
REYP919;REY POLIESTER 919;0,755;5661,81;12,11;21;0;6500
LT-18;ACEITERA PLASTICA LT-18 ;1;227,5;0;21;0;850
A158;ALTEX ALGODON 158;1;653;3,2;21;0;1700
A334;ALTEX ALGODON 334;1;653;3,2;21;0;1700
A366;ALTEX ALGODON 366;1;653;3,2;21;0;1700
A976;ALTEX ALGODON 976;1;653;3,2;21;0;1700
A980;ALTEX ALGODON 980;1;653;3,2;21;0;1700
B37C-28X12;AUREC DOBLE PASACINTO CRUZADO Nï¿½ï;1;22200;24;21;0;37607
B37C-32X14;AUREC DOBLE PASACINTO CRUZADO Nï¿½ï;1;22200;24;21;0;37607
B37-30X15;AUREC DOBLE PASACINTO Nï¿½ï;1;20350;22;21;0;34473
B65-25MM;AUREC ENVIVADOR DE OVERLOCK 25mm;1;25900;28;21;0;43875
B65-35MM;AUREC ENVIVADOR DE OVERLOCK 35mm;1;29600;32;21;0;50142
B65-45MM;AUREC ENVIVADOR DE OVERLOCK 45mm;1;29600;32;21;0;50142
B68-25x12;AUREC ENVIVADOR TAPACOSTURA Y TIRILLERA;1;14800;16;21;0;25071
B68-30x15;AUREC ENVIVADOR TAPACOSTURA Y TIRILLERA;1;16650;18;21;0;28205
B53-056X30;AUREC GUIA DE CINTURERA CURVO;1;166500;180;21;0;282051
B53-063X37;AUREC GUIA DE CINTURERA CURVO;1;166500;180;21;0;282051
B60-095x36;AUREC GUIA DE CINTURERA RECTO;1;92500;100;21;0;156695
B60-105x43;AUREC GUIA DE CINTURERA RECTO;1;92500;100;21;0;156695
B50-095x36;AUREC GUIA DE CINTURERA ROLLO;1;92500;100;21;0;156695
B50-100x40;AUREC GUIA DE CINTURERA ROLLO;1;92500;100;21;0;156695
B50-105x43;AUREC GUIA DE CINTURERA ROLLO;1;92500;100;21;0;156695
B50-110x45;AUREC GUIA DE CINTURERA ROLLO;1;92500;100;21;0;156695
B12-2-12x6;AUREC GUIA P/COLLARETA PASA ELASTICO Nï¿½ï¿½ï¿½ï¿;1;13412;14,5;21;0;22721
B12-2-14X7;AUREC GUIA P/COLLARETA PASA ELASTICO Nï¿½ï¿½ï¿½ï¿;1;13412;14,5;21;0;22721
B12-2-15X7.5;AUREC GUIA P/COLLARETA PASA ELASTICO Nï¿½ï¿½ï¿½ï¿;1;13412;14,5;21;0;22721
B12-2-16X8;AUREC GUIA P/COLLARETA PASA ELASTICO Nï¿½ï¿½ï¿½ï¿;1;13412;14,5;21;0;22721
