id;name;stock;costoPeso;costoDolar;iva;gananacia;precioVenta;descripcion
Adorno para torta pinche goma Eva;Adorno para torta pinche goma Eva;;;;;;;
Adorno para torta pinche tergo Pol;Adorno para torta pinche tergo Pol;;;;;;;
Afiche fantasia x10 unidades Surtidas;Afiche fantasia x10 unidades Surtidas;;;;;;;
Bolsa consorcio negra grande;Bolsa consorcio negra grande;;;;;;;
Bolsa grande celeste con manijas;Bolsa grande celeste con manijas;;;;;;;
Bolsa grande colores;Bolsa grande colores;;;;;;;
Bolsa grande Mickey;Bolsa grande Mickey;;;;;;;
"Bolsa mediana ""aquí adentro hay mucho amor""";"Bolsa mediana ""aquí adentro hay mucho amor""";;;;;;;
Bolsa mediana corazon;Bolsa mediana corazon;;;;;;;
Bolsa mediana mandalas;Bolsa mediana mandalas;;;;;;;
Bolsa mediana Mickey;Bolsa mediana Mickey;;;;;;;
Bolsa mediana unicornio;Bolsa mediana unicornio;;;;;;;
Bolsa propileno 12x20;Bolsa propileno 12x20;;;;;;;
Bolsa propileno 15x30;Bolsa propileno 15x30;;;;;;;
Bolsa propileno 20x30;Bolsa propileno 20x30;;;;;;;
Bolsa propileno 25x35;Bolsa propileno 25x35;;;;;;;
Bolsa propileno 30x40;Bolsa propileno 30x40;;;;;;;
Bolsa propileno 8x15;Bolsa propileno 8x15;;;;;;;
Bolsa propileno 8x30;Bolsa propileno 8x30;;;;;;;
Broche Dinamit 65 x 1000 Unid.;Broche Dinamit 65 x 1000 Unid.;;;;;;;
Broche Grap 10/50 x 5000 Unid.;Broche Grap 10/50 x 5000 Unid.;;;;;;;
Broche Mit 21/6 x 1000Unid.;Broche Mit 21/6 x 1000Unid.;;;;;;;
Broche Mit 24/8 x 5000 Unid.;Broche Mit 24/8 x 5000 Unid.;;;;;;;
Broche Mit 50 x 1000 Unid.;Broche Mit 50 x 1000 Unid.;;;;;;;
Broche Mit 50 x 5000 Unid.;Broche Mit 50 x 5000 Unid.;;;;;;;
Broche Mit 64 x 1000 Unid.Broche Kangaru 64/6 x 1000 Unid.;Broche Mit 64 x 1000 Unid.Broche Kangaru 64/6 x 1000 Unid.;;;;;;;
Caja de archivo Pp 6cm A4 V/colores C/elast Lama;Caja de archivo Pp 6cm A4 V/colores C/elast Lama;;;;;;;
Cartulina 1028 color;Cartulina 1028 color;;;;;;;
Cartulina color pastel color;Cartulina color pastel color;;;;;;;
Cartulina gloss entretenida V/diseños;Cartulina gloss entretenida V/diseños;;;;;;;
Cartulina Luma fluor;Cartulina Luma fluor;;;;;;;
Cartulina Luma metalizado color;Cartulina Luma metalizado color;;;;;;;
Cristal escolar pizzini x20cm cristal;Cristal escolar pizzini x20cm cristal;;;;;;;
Filmilo Art-jet adhesivo Gris Pñatinum A4 20Hojas;Filmilo Art-jet adhesivo Gris Pñatinum A4 20Hojas;;;;;;;
Folio luma A4;Folio luma A4;;;;;;;
Folio luma A4 extra fuerte Pp;Folio luma A4 extra fuerte Pp;;;;;;;
Folio luma oficio extra fuerte Pp x 100u;Folio luma oficio extra fuerte Pp x 100u;;;;;;;
Globo yostin;Globo yostin;;;;;;;
Globos de corazon feliz dia de la madre;Globos de corazon feliz dia de la madre;;;;;;;
Globos de corazon grande chico;Globos de corazon grande chico;;;;;;;
Globos de corazon te amo;Globos de corazon te amo;;;;;;;
Globos de corazon te quiero;Globos de corazon te quiero;;;;;;;
Globos de equipos river boca;Globos de equipos river boca;;;;;;;
Globos de personajes hombre araña;Globos de personajes hombre araña;;;;;;;
Globos de personajes Unicornio, Lol,Frozen;Globos de personajes Unicornio, Lol,Frozen;;;;;;;
Globos feliz cumpleaños;Globos feliz cumpleaños;;;;;;;
Globos N°18 mediano dorado;Globos N°18 mediano dorado;;;;;;;
Globos N°18 mediano plateado;Globos N°18 mediano plateado;;;;;;;
Goma Eva Autoadhesiva Glitter Brillo Cbx A4;Goma Eva Autoadhesiva Glitter Brillo Cbx A4;;;;;;;
Goma Eva Rexon-cbx 40x60 Glitter V/colores ;Goma Eva Rexon-cbx 40x60 Glitter V/colores ;;;;;;;
Mapa Gloss N3 X 40Hjs;Mapa Gloss N3 X 40Hjs;;;;;;;
Mapa gloss N6 x25 Hjs;Mapa gloss N6 x25 Hjs;;;;;;;
Marcador trabi 4111 permanente punta redonda x 12u;Marcador trabi 4111 permanente punta redonda x 12u;;;;;;;
Marcador trabi 420 Al agua x12u;Marcador trabi 420 Al agua x12u;;;;;;;
Marcador trabi pizarra x10u;Marcador trabi pizarra x10u;;;;;;;
Opalina cartulina A4 Hojas 150 grs Chambril Blanco;Opalina cartulina A4 Hojas 150 grs Chambril Blanco;;;;;;;
