id;name;stock;costoPeso;costoDolar;iva;gananacia;precioVenta;descripcion
0;RECTA SUNSURE ADELANTO- $40000;9998;0;0;21;0;0;
144;AGUJA DBx1 16x231/257 1738 Nº11  ;;;;;;;ORANGE NEEDLES
145;AGUJA DBx1 16x231/257 1738 Nº12  ;;;;;;;ORANGE NEEDLES
147;AGUJA DBx1 16x231/257 1738 Nº14      ;26;1161;0,94;0;60;1857;ORANGE NEEDLES
148;AGUJA DBx1 16x231/257 1738 Nº16    ;31;1161;0,94;0;60;1857;
149;AGUJA DBx1 16x231/257 1738 Nº18;24;1161;0,94;0;60;1857;
150;AGUJA DBx1 16x231/257 1738 Nº20 ;19;1161;0,94;0;60;1857;
160;AGUJA DPx5 135x5 134 Nº11        ;37;1161;0,94;0;60;1857;
161;AGUJA DPx5 135x5 134 Nº14  ;40;1161;0,94;0;60;1857;ORANGE NEEDLES
162;AGUJA DPx5 135x5 134 Nº16      ;22;1161;0,94;0;60;1857;ORANGE NEEDLES
163;AGUJA DPx5 135x5 134 Nº18            ;19;1161;0,94;0;60;1857;ORANGE NEEDLES
165;AGUJA DPx5 135x5/7 134 Nº20               ;20;1161;0,94;0;60;1857;ORANGE NEEDLES
166;AGUJA DPx5 135x5/7 134 Nº21              ;20;1161;0,94;0;60;1857;ORANGE NEEDLES
167;AGUJA DPx5 135x5/7 134 Nº22;20;1161;0,94;0;60;1857;ORANGE NEEDLES
168;AGUJA DCx27 B-27 MY1023 Nº19;17;1754;1,42;0;60;2806;ORANGE NEEDLES
170;AGUJA DCx27 B-27 MY1023 Nº11B  ;32;1754;1,42;0;60;2806;ORANGE NEEDLES
172;AGUJA DPx17 135x17 2167 Nº18;14;1754;1,42;0;60;2806;ORANGE NEEDLES
173;AGUJA DCx27 B-27 MY1023 Nº14B;28;1754;1,42;0;60;2806;ORANGE NEEDLES
174;AGUJA DPx17 135x17 2167 Nº20;24;1754;1,42;0;60;2806;ORANGE NEEDLES
175;AGUJA DCx27 B-27 MY1023 Nº16  ;19;1754;1,42;0;60;2806;ORANGE NEEDLES
176;AGUJA DPx17 135x17 2167 Nº24 ;20;1754;1,42;0;60;2806;ORANGE NEEDLES
177;AGUJA DCx27 B-27 MY1023 Nº18  ;37;1754;1,42;0;60;2806;ORANGE NEEDLES
178;AGUJA DPx17 135x17 2167 Nº22  ;18;1754;1,42;0;60;2806;ORANGE NEEDLES
179;AGUJA DCx27 B-27 MY1023 Nº20  ;27;1754;1,42;0;60;2806;ORANGE NEEDLES
189;AGUJA DVX57 62X57 5640 Nº21;13;5076;4,11;21;60;9827;ORANGE NEEDLES
229;AGUJA UYx128GAS 1280 MY1040 Nº10;9;2137;1,73;0;60;3418;ORANGE NEEDLES
230;AGUJA UYx128GAS 1280 MY1040 Nº11;18;2137;1,73;0;60;3418;ORANGE NEEDLES
232;AGUJA UYx128GAS 1280 MY1040 Nº12B ;;;;;;;ORANGE NEEDLES
234;AGUJA UYx128GAS 1280 MY1040 Nº14B  ;;;;;;;ORANGE NEEDLES
235;AGUJA UYx128GAS 1280 MY1040 Nº16;;;;;;;ORANGE NEEDLES
236;AGUJA UYx128GAS 1280 MY1040 Nº18 ;23;2137;1,73;0;60;3418;ORANGE NEEDLES
238;AGUJA UYx128GAS 1280 MY1040 Nº20;25;2137;1,73;0;60;3418;ORANGE NEEDLES
295;PINCEL DE OVERLOCK;0;60,5;0;21;0;600;SIRUBA
340;AGUJA TVX7 149X7 MY1002A N°11;14;2137;1,73;0;60;3418;
341;AGUJA TVX7 149X7 MY1002A N°12 ;18;2137;1,73;0;60;3418;
342;AGUJA TVX7 149X7 MY1002A N°14 (90);17;2137;1,73;0;60;3418;
343;AGUJA TVX7 149X7 MY1002A N°16 (100);19;2137;1,73;0;70;3632;
345;AGUJA TVX7 149X7 MY1002A N°20 (125);17;2137;1,73;0;70;3632;
629;CABLE DE CORTADORA 629 DAPET;6;10683;8,65;0;70;18161;DAPET
1381;PINCEL CHICO SIMPLE BR1;5;190;0;21;70;500;SIRUBA
1382;PINCEL COMBINADO BR2;7;197,6;0;21;70;600;SIRUBA
1829;AGUJA DPx5 135x5 134 Nº12;33;1161;0,94;0;60;1857;ORANGE NEEDLES
1833;AGUJA DCx27 B-27 MY1023 Nº12B  ;14;1754;1,42;0;60;2806;ORANGE NEEDLES
1900;AGUJA HAX1 705S N°11BP;35;1457;1,18;0;60;2332;LUBRIND 1900
1901;AGUJA HAX1 705S N°12BP;30;1463;1,18;0;70;2488;LUBRIND 1901
1903;AGUJA HAX1 705S N°16;26;1457;1,18;0;70;2477;LUBRIND 1903
1904;AGUJA DOBLE P/FAMILIAR  N°14;57;3582;2,9;0;0;3582;LUBRIND 1902
1942;AGUJA DPx17 135x17 2167 Nº16 ;;;;;;;ORANGE NEEDLES
1959;AGUJA TVx5 149x5 62x53 Nº16  ;;;;;;;Y PARA CINTURERA SIRUBA
1989;AGUJA HAX1 705S N°14BP;28;1457;1,18;0;70;2477;LUBRIND 1901
2179;AGUJA DBx1 16x231/257 1738 Nº10;19;1161;0,94;0;60;1857;
2183;AGUJA DCx27 B-27 MY1023 Nº10B  ;42;1754;1,42;0;60;2806;ORANGE NEEDLES
2357;AGUJA HAX1 705S N°10BP;37;1457;1,18;0;60;2332;LUBRIND 2357
2494;AGUJA DPx17 135x17 2167 Nº11 ;;;;;;;ORANGE NEEDLES
2495;AGUJA DPx17 135x17 2167 Nº12 ;;;;;;;ORANGE NEEDLES
2499;AGUJA DPx17 135x17 2167 Nº10;;;;;;;ORANGE NEEDLES
2765;GUIA HILO BARRA AGUJA;9;64,64;0;21;0;400;SUNSTAR
2833;AGUJA TQx7 175x7 29-L:2091 N°11;20;1754;1,42;0;60;2806;ORANGE NEEDLES
2834;AGUJA TQx7 175x7 29-L:2091 N°12;9;1754;1,42;0;60;2806;ORANGE NEEDLES
2835;AGUJA TQx7 175x7 29-L:2091 N°14;13;1754;1,42;0;70;2981;ORANGE NEEDLES
2836;AGUJA TQx7 175x7 29-L:2091 N°16 ;21;1754;1,42;0;60;2806;ORANGE NEEDLES
2837;AGUJA TQx7 175x7 29-L:2091 N°18 ;20;1754;1,42;0;60;2806;ORANGE NEEDLES
2838;AGUJA TQx7 175x7 29-L:2091 N°20 ;20;1754;1,42;0;60;2806;ORANGE NEEDLES
2879;AGUJA TQx1 175x1  N°10;20;1556;1,26;0;60;2490;ORANGE NEEDLES
2886;AGUJA TQx1 175x1  N°16;11;1556;1,26;0;60;2490;ORANGE NEEDLES
2889;AGUJA TQx1 175x1  N°11;20;1556;1,26;0;60;2490;ORANGE NEEDLES
2898;AGUJA TQx1 175x1  N°12;14;1556;1,26;0;60;2490;ORANGE NEEDLES
2899;AGUJA TQx1 175x1  N°14;7;1556;1,26;0;60;2490;ORANGE NEEDLES
3137;CORREA BROTHER-V BELT INDUSTRIAL Nº30;26;2828;2,29;0;70;4808;BROTHER-V BELT
3138;SOPORTE DE LA GUIA COLLARETTA PEGASUS;;;;;;;PEGASUS
3139;CORREA BROTHER-V BELT INDUSTRIAL Nº32;41;2828;2,29;0;70;4808;BROTHER-V BELT
3140;CORREA BROTHER-V BELT INDUSTRIAL Nº33;28;2828;2,29;0;70;4808;BROTHER-V BELT
3141;CORREA BROTHER-V BELT INDUSTRIAL Nº34;18;2828;2,29;0;70;4808;BROTHER-V BELT
3142;CORREA BROTHER-V BELT INDUSTRIAL Nº35;6;2828;2,29;0;70;4808;BROTHER-V BELT
3143;CORREA BROTHER-V BELT INDUSTRIAL Nº36;20;2828;2,29;0;70;4808;BROTHER-V BELT
3144;CORREA BROTHER-V BELT INDUSTRIAL Nº37;8;2828;2,29;0;70;4808;BROTHER-V BELT
